stress,FALSE
active,FALSE
weight,FALSE
lose weight,FALSE
slim,FALSE
fat,FALSE
unhealthy,FALSE
healthy,FALSE
boss,FALSE
work,FALSE
pressure,FALSE
work pressue,FALSE
job,FALSE
life,FALSE
wife,FALSE
girlfriend,FALSE
gf,FALSE
naps,FALSE
Sunday,FALSE
Monday,FALSE
Tuesday,FALSE
Wednesday,FALSE
Thursday,FALSE
Friday,FALSE
Saturday,FALSE
Sunday,FALSE
all months,FALSE
wrong,FALSE
country,FALSE
govt,FALSE
people,FALSE
bored,FALSE
stressed,FALSE
tired,FALSE
crazy,FALSE
weird,FALSE
colleague,FALSE
talks,FALSE
super bad day,FALSE
boring,FALSE
more work,FALSE
waiting,FALSE
presentation,FALSE
everyone,FALSE
too much,FALSE
people's work,FALSE
I want,FALSE
wtf,FALSE
somethings,FALSE
meetings,FALSE
exams,FALSE
humid,FALSE
hot,FALSE
very cold,FALSE
raining,FALSE
hello,FALSE
my brain,FALSE
blah,FALSE
lunch,FALSE
dinner,FALSE
food,FALSE
breakfast,FALSE
decisions,FALSE
weekend,FALSE
lose,FALSE
win,FALSE
wives,FALSE
study,FALSE
Sun,FALSE
shopped,FALSE
God,FALSE
keyboard,FALSE
robot,FALSE
one more day,FALSE
gold chain,FALSE
babies,FALSE
holiday,FALSE
sick leave,FALSE
chutti,FALSE
home,FALSE
sleep,FALSE
pictures,FALSE
concall,FALSE
ate,FALSE
vacation,FALSE
everyone,FALSE
not well,FALSE
working,FALSE
noisy,FALSE
not slept,FALSE
party,FALSE
start,FALSE
business,FALSE
hangover,FALSE
my body,FALSE
times,FALSE
dumb,FALSE
boxing,FALSE
my credit card bill,FALSE
Netflix,FALSE
conversation,FALSE
sweets,FALSE
grrrr,FALSE
my external hard disk,FALSE
long weekend,FALSE
movies,FALSE
fun,FALSE
this dude,FALSE
lazy colleagues,FALSE
new clothes,FALSE
increases,FALSE
smoking,FALSE
mumbai locals,FALSE
positive,FALSE
run,FALSE
quit,FALSE
tension,FALSE
relieve,FALSE
idea,FALSE
heat,FALSE
traffic,FALSE
masseuse,FALSE
snapchat,FALSE
always raining,FALSE
all the roads,FALSE
roads,FALSE
coffee machine,FALSE
my colleague /colleague,FALSE
my junior /junior,FALSE
my boss / boss,FALSE
movies,FALSE
my husband /husband,FALSE
my wife /wife,FALSE
girlfriend,FALSE
boyfriend,FALSE
my office,FALSE
office,FALSE
